weather,temp,atemp,humidity,windspeed,holiday,workingday,season,hour,dow,year,ideal,log-registered,log-casual
1,9.84,14.395,81,0.0,0,0,1,0,5,2011,0,2.6390573296152584,1.3862943611198906
1,9.02,13.635,80,0.0,0,0,1,1,5,2011,0,3.4965075614664802,2.1972245773362196
1,9.02,13.635,80,0.0,0,0,1,2,5,2011,0,3.332204510175204,1.791759469228055
1,9.84,14.395,75,0.0,0,0,1,3,5,2011,0,2.3978952727983707,1.3862943611198906
1,9.84,14.395,75,0.0,0,0,1,4,5,2011,0,0.6931471805599453,0.0
2,9.84,12.88,75,6.0032,0,0,1,5,5,2011,0,0.6931471805599453,0.0
1,9.02,13.635,80,0.0,0,0,1,6,5,2011,0,0.0,1.0986122886681098
1,8.2,12.88,86,0.0,0,0,1,7,5,2011,0,1.0986122886681098,0.6931471805599453
1,9.84,14.395,75,0.0,0,0,1,8,5,2011,0,2.0794415416798357,0.6931471805599453
1,13.12,17.425,76,0.0,0,0,1,9,5,2011,0,1.9459101490553132,2.1972245773362196
1,15.58,19.695,76,16.9979,0,0,1,10,5,2011,0,3.2188758248682006,2.5649493574615367
1,14.76,16.665,81,19.0012,0,0,1,11,5,2011,0,3.4339872044851463,3.295836866004329
1,17.22,21.21,77,19.0012,0,0,1,12,5,2011,0,4.02535169073515,3.4011973816621555
2,18.86,22.725,72,19.9995,0,0,1,13,5,2011,0,3.871201010907891,3.871201010907891
2,18.86,22.725,72,19.0012,0,0,1,14,5,2011,0,4.276666119016055,3.58351893845611
2,18.04,21.97,77,19.9995,0,0,1,15,5,2011,0,4.2626798770413155,3.713572066704308
2,17.22,21.21,82,19.9995,0,0,1,16,5,2011,0,3.970291913552122,3.7376696182833684
2,18.04,21.97,82,19.0012,0,0,1,17,5,2011,0,3.970291913552122,2.772588722239781
3,17.22,21.21,88,16.9979,0,0,1,18,5,2011,0,3.295836866004329,2.302585092994046
3,17.22,21.21,88,16.9979,0,0,1,19,5,2011,0,3.4657359027997265,1.9459101490553132
2,16.4,20.455,87,16.9979,0,0,1,20,5,2011,0,3.258096538021482,2.4849066497880004
2,16.4,20.455,87,12.998,0,0,1,21,5,2011,0,3.4657359027997265,1.3862943611198906
2,16.4,20.455,94,15.0013,0,0,1,22,5,2011,0,2.8903717578961645,2.4849066497880004
